Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,
Passau,Kreisfreie Stadt,3,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,3,,,,,,,,,,,,,,,,9
Passau,Landkreis,15,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,15,,,,,,,,,,,,,,,,9
Peine,Landkreis,8,"https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1",8,,,,,,,,,,,,,,,,3
Pfaffenhofen a.d. Ilm,Landkreis,11,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,11,,,,,,,,,,,,,,,,9
Pforzheim,Stadtkreis,7,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",7,,,,,,,,,,,,,,,,8
Pinneberg,Kreis,27,https://www.kreis-pinneberg.de/Coronavirus.html,27,,,,,,,,,,,,,,,,1
Pirmasens,Kreisfreie Stadt,0,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,0,,,,,,,,,,,,,,,,7
Pl├Ân,Kreis,6,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,6,,,,,,,,,,,,,,,,1
Potsdam,Kreisfreie Stadt,13,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,13,,,,,,,,,,,,,,,,12
Potsdam-Mittelmark,Landkreis,8,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,8,,,,,,,,,,,,,,,,12
Prignitz,Landkreis,0,https://www.landkreis-prignitz.de/de/aktuelles/index.php,0,,,,,,,,,,,,,,,,12
Rastatt,Landkreis,39,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,39,,,,,,,,,,,,,,,,8
Ravensburg,Landkreis,70,"https://www.schwaebische.de/landkreis/landkreis-ravensburg/ravensburg_artikel,-schon-70-f%C3%A4lle-warum-die-corona-regeln-im-kreis-ravensburg-besonders-streng-sind-_arid,11201157.html",83,,,,,18.03.2020 14:30,https://www.rv.de/Startseite,,,,,,,,,,8
Recklinghausen,Kreis,63,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,63,,,,,,,,,,,,,,,,5
Regen,Landkreis,18,https://www.landkreis-regen.de/informationen-zum-thema-coronavirus/,18,,,,,,,,,,,,,,,,9
Regensburg,Kreisfreie Stadt,17,https://www.regensburg.de/aktuelles/coronavirus,17,,,,,,,,,,,,,,,,9
Regensburg,Landkreis,19,https://www.landkreis-regensburg.de/unser-landkreis/aktuelles/coronavirus/,19,,,,,,,,,,,,,,,,9
Region Hannover,Landkreis,138,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus-der-Region-Hannover,146,,,,,18.03.2020 14:05,,,,,,,,,,,3
Regionalverband Saarbrücken,Landkreis,27,https://www.regionalverband-saarbruecken.de/presse/nachricht-startseite/news/aktuell-27-bestaetigte-coronavirus-erkrankte-im-regionalverband/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=dbd9b39722210833eabe8e14303aafd1,27,,,,,,,,,,,,,,,,10
Rems-Murr-Kreis,Landkreis,54,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,64,,,,,18.03.2020 10:00,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,,,,,,,,,,8
Remscheid,Kreisfreie Stadt,15,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php,15,,,,,,,,,,,,,,,,5
Rendsburg-Eckernförde,Kreis,13,https://www.kreis-rendsburg-eckernfoerde.de/service/aktuelles-coronavirus/,13,,,,,,,,,,,,,,,,1
Reutlingen,Landkreis,43,https://www.kreis-reutlingen.de/de/Aktuelles/Landkreis-aktuell/Landkreis-aktuell?view=publish&item=article&id=1909,43,,,,,,,,,,,,,,,,8
Rhein-Erft-Kreis,Kreis,89,https://www.rhein-erft-kreis.de/coronavirus,89,,,,,,,,,,,,,,,,5
Rhein-Hunsrück-Kreis,Landkreis,28,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,28,,,,,,,,,,,,,,,,7
Rhein-Kreis Neuss,Kreis,50,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/174-aktuell-44-infektionen-mit-dem-coronavirus-im-rhein-kreis-neuss.html,50,,,,,,,,,,,,,,,,5
Rhein-Lahn-Kreis,Landkreis,15,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktueller-stand-15-3/,15,,,,,,,,,,,,,,,,7
Rhein-Neckar-Kreis,Landkreis,109,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",124,,,,,18.03.2020,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",,,,,,,,,,8
Rhein-Pfalz-Kreis,Landkreis,3,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/,3,,,,,,,,,,,,,,,,7
Rhein-Sieg-Kreis,Kreis,111,https://www.rhein-sieg-kreis.de/corona,111,,,,,,,,,,,,,,,,5
Rheingau-Taunus-Kreis,Landkreis,25,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,25,,,,,,,,,,,,,,,,6
Rheinisch-Bergischer Kreis,Kreis,60,https://www.rbk-direkt.de/news/28836/52-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis-,60,,,,,,,,,,,,,,,,5
Rhön-Grabfeld,Landkreis,3,https://www.rhoen-grabfeld.de/internet/index.php?page=15492&,3,,,,,,,,,,,,,,,,9
Rosenheim,Kreisfreie Stadt,1,https://rosenheim.de/aktuell-rathaus/stadt-und-landkreis-rosenheim-aktuelle-informationen-zum-corona-virus.html,1,,,,,,,,,,,,,,,,9
Rosenheim,Landkreis,47,https://www.landkreis-rosenheim.de/#{2},47,,,,,,,,,,,,,,,,9
Rostock,Kreisfreie Stadt,16,https://www.rostock.de/pandemie,16,,,,,,,,,,,,,,,,13
Rostock,Landkreis,13,https://www.landkreis-rostock.de/landkreis/aktuelles/news/2020/maerz/coronavirus-2.html,13,,,,,,,,,,,,,,,,13
Rotenburg (Wümme),Landkreis,18,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007,18,,,,,,,,,,,,,,,,3
Roth,Landkreis,5,https://www.landratsamt-roth.de/,5,,,,,,,,,,,,,,,,9
Rottal-Inn,Landkreis,30,https://www.rottal-inn.de/buergerservice-formulare/gesundheitsamt/coronavirus-aktuelle-informationen/,30,,,,,,,,,,,,,,,,9
Rottweil,Landkreis,5,https://www.schwarzwaelder-bote.de/inhalt.kreis-rottweil-erster-corona-todesfall-im-landkreis.9d46442f-7609-4908-b4e8-19c21d3c9cd0.html,5,,,,,,,,,,,,,,,,8
Saale-Holzland-Kreis,Landkreis,4,https://www.saaleholzlandkreis.de/index.php?id=2759,4,,,,,,,,,,,,,,,,16
Saale-Orla-Kreis,Landkreis,3,https://www.saale-orla-kreis.de/sok/,3,,,,,,,,,,,,,,,,16
Saalekreis,Landkreis,3,https://www.saalekreis.de/de/aktuelles-publikationen/coronavirus.html,3,,,,,,,,,,,,,,,,15
Saalfeld-Rudolstadt,Landkreis,5,http://www.kreis-slf.de/landratsamt/nachrichtenansicht/archive/2020/m%C3%A4rz/13/article/fuenf-bestaetigte-corona-faelle-im-landkreis/,5,,,,,,,,,,,,,,,,16
Saarlouis,Landkreis,24,https://www.kreis-saarlouis.de/Aktuelles/Corona-Ticker-Aktuelle-Lage.html?,24,,,,,,,,,,,,,,,,10
Saarpfalz-Kreis,Landkreis,17,https://www.saarpfalz-kreis.de/images/Gesundheitsamt/2020/Medieninfo_MfSGFF_163_Saarlndisches_Gesundheitsministerium_besttigt_weitere_elf_Erkrankungen_am_Coronavirus.pdf,17,,,,,,,,,,,,,,,,10
Sächsische Schweiz-Osterzgebirge,Landkreis,14,https://www.landratsamt-pirna.de/50282.htm,14,,,,,,,,,,,,,,,,14
Salzgitter,Kreisfreie Stadt,3,https://www.salzgitter.de/,3,,,,,,,,,,,,,,,,3
Salzlandkreis,Landkreis,8,https://www.salzlandkreis.de/verwaltung/fachdienste-plattform/34-gesundheit/corona-virus/,8,,,,,,,,,,,,,,,,15
Schaumburg,Landkreis,5,https://www.sn-online.de/Schaumburg/Landkreis/Aus-dem-Landkreis/Urlaubsrueckkehrer-Fuenfter-Corona-Fall-im-Landkreis-Schaumburg,5,,,,,,,,,,,,,,,,3
Schleswig-Flensburg,Kreis,17,"https://www.schleswig-flensburg.de/Leben-Soziales/Gesundheit/Coronavirus/Corona-Virus-Aktuelle-Informationen-des-Kreises-Schleswig-Flensburg.php?object=tx,2120.1&ModID=7&FID=2475.1421.1&NavID=2120.752&La=1",17,,,,,,,,,,,,,,,,1
Schmalkalden-Meiningen,Landkreis,3,https://www.lra-sm.de/?p=22632,3,,,,,,,,,,,,,,,,16
Schwabach,Kreisfreie Stadt,5,https://www.schwabach.de/de/,5,,,,,,,,,,,,,,,,9
Schwäbisch Hall,Landkreis,48,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,48,,,,,,,,,,,,,,,,8
Schwalm-Eder-Kreis,Landkreis,34,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,34,,,,,,,,,,,,,,,,6
Schwandorf,Landkreis,15,https://www.landkreis-schwandorf.de/index.php?object=tx%7C1901.64&ModID=255&FID=1901.15309.1&&mNavID=1.100&La=1,15,,,,,,,,,,,,,,,,9
Schwarzwald-Baar-Kreis,Landkreis,27,"https://www.lrasbk.de/Aktuelles/Neuigkeiten/index.php?object=tx,2961.13137.1&NavID=2961.1467.1",27,,,,,,,,,,,,,,,,8
Schweinfurt,Kreisfreie Stadt,8,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,8,,,,,,,,,,,,,,,,9
Schweinfurt,Landkreis,16,https://www.landkreis-schweinfurt.de/aktuelles/presseportal/details/?tx_news_pi1%5Bnews%5D=928&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=5c35f784323e1ad42f938cb9e60a949c,16,,,,,,,,,,,,,,,,9
Schwerin,Kreisfreie Stadt,7,https://www.schwerin.de/politik-verwaltung/stadtverwaltung/pressestelle/pressemitteilungen/,7,,,,,,,,,,,,,,,,13
Segeberg,Kreis,14,https://www.segeberg.de/coronavirus,14,,,,,,,,,,,,,,,,1
Siegen-Wittgenstein,Kreis,26,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/5-neue-Coronaf%C3%A4lle-in-Siegen-Wittgenstein-Kreisverwaltung-bleibt-ab-Dienstag-17-M%C3%A4rz-geschlossen.php?object=tx,2170.14.1&ModID=7&FID=2170.2482.1&NavID=2170.58&La=1&call=suche",26,,,,,,,,,,,,,,,,5
Sigmaringen,Landkreis,37,https://www.landkreis-sigmaringen.de/de/Aktuell/Aktuelle-Meldungen/Aktuelle-Meldung?view=publish&item=article&id=2256,37,,,,,,,,,,,,,,,,8
Soest,Kreis,35,https://www.kreis-soest.de/gesundheit_verbraucher/gesundheit/infektionsschutz/corona/Corona.php,35,,,,,,,,,,,,,,,,5
Solingen,Kreisfreie Stadt,32,https://www.solingen.de/de/inhalt/coronavirus/,32,,,,,,,,,,,,,,,,5
Sömmerda,Landkreis,0,https://www.lra-soemmerda.de/,0,,,,,,,,,,,,,,,,16
Sonneberg,Landkreis,0,https://www.kreis-sonneberg.de/,0,,,,,,,,,,,,,,,,16
Speyer,Kreisfreie Stadt,4,https://www.speyer.de/sv_speyer/de/Rathaus/Medien-Infos/Aktuelle%20Infos/Aktuelle%20Informationen%20zum%20Coronavirus/,4,,,,,,,,,,,,,,,,7
Spree-Neiße,Landkreis,13,https://www.lkspn.de/aktuelles/aktuelles-landkreis-spree-neisse/informationen_coronavirus.html,13,,,,,,,,,,,,,,,,12
St. Wendel,Landkreis,17,https://www.landkreis-st-wendel.de/der-landkreis/landratsamt/aktuelle-meldungen/,17,,,,,,,,,,,,,,,,10
Stade,Landkreis,28,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006,28,,,,,,,,,,,,,,,,3
Städteregion Aachen,Kreis,211,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,273,,,,4,18/03/2020 13:45,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,@_MitschiBoy_,,,,,,,,,5
Starnberg,Landkreis,50,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,50,,,,,,,,,,,,,,,,9
Steinburg,Kreis,4,https://www.steinburg.de/startseite/presse-aktuelles/meldungen/details/tx_news/allgemeine-informationen-und-verhaltensregeln-zum-coronavirus.html,4,,,,,,,,,,,,,,,,1
Steinfurt,Kreis,95,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,114,,,,,18/03/2020 08:30,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,@_MitschiBoy_,,,,,,,,,5
Stendal,Landkreis,8,https://www.landkreis-stendal.de/,8,,,,,,,,,,,,,,,,15
Stormarn,Kreis,8,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-corona-faelle-im-kreis-stormarn.html,8,,,,,,,,,,,,,,,,1
Straubing,Kreisfreie Stadt,8,http://www.straubing.de/de/buerger-und-soziales/aktuelles/2020/info_corona_virus.php,8,,,,,,,,,,,,,,,,9
Straubing-Bogen,Landkreis,4,https://www.landkreis-straubing-bogen.de/buergerservice/aktuelles-pressemitteilungen/corona/,4,,,,,,,,,,,,,,,,9
Stuttgart,Stadtkreis,284,https://www.stuttgart.de/item/show/273273/1/9/689988?plist=homepage,284,,,,,,,,,,,,,,,,8
Südliche Weinstraße,Landkreis,19,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,19,,,,,,,,,,,,,,,,7
Südwestpfalz,Landkreis,3,https://www.lksuedwestpfalz.de/aktuelles/nachrichten/2020/maerz/coronavirus-erster-positiver-fall/,3,,,,,,,,,,,,,,,,7
Suhl,Kreisfreie Stadt,1,https://www.suhltrifft.de/content/blogsection/41/2246/,1,,,,,,,,,,,,,,,,16
Teltow-Fläming,Landkreis,10,http://www.teltow-flaeming.de/de/service/gesundheit/corona-virus-dossier.php,10,,,,,,,,,,,,,,,,12
Tirschenreuth,Landkreis,40,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/20-weitere-faelle-im-landkreis-tirschenreuth-3-weitere-praxen-betroffen-eingeschraenkter-dienstbetri/,40,,,,,,,,,,,,,,,,9
Traunstein,Landkreis,10,https://www.traunstein.com/aktuelles/meldungen/aktuelle-informationen-zum-corona-virus-im-lk-ts-drei-neue-bestaetigte-faelle,10,,,,,,,,,,,,,,,,9
Trier,Kreisfreie Stadt,10,https://www.trier-saarburg.de/,10,,,,,,,,,,,,,,,,7
Trier-Saarburg,Landkreis,12,https://www.trier-saarburg.de/,12,,,,,,,,,,,,,,,,7
Tübingen,Landkreis,101,https://www.tuebingen.de/corona,101,,,,,,,,,,,,,,,,8
Tuttlingen,Landkreis,7,"https://www.schwaebische.de/landkreis/landkreis-tuttlingen/tuttlingen_artikel,-weiterer-corona-fall-im-landkreis-tuttlingen-_arid,11201241.html",7,,,,,,,,,,,,,,,,8
Uckermark,Landkreis,0,"https://www.uckermark.de/index.phtml?La=1&mNavID=1897.1&object=tx,2203.462.1&kat=&kuo=2&sub=0",0,,,,,,,,,,,,,,,,12
Uelzen,Landkreis,1,https://www.landkreis-uelzen.de/home/soziales-familie-und-gesundheit/gesundheit/corona-virus.aspx,1,,,,,,,,,,,,,,,,3
Ulm,Stadtkreis,19,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,19,,,,,,,,,,,,,,,,8
Unna,Kreis,25,https://www.kreis-unna.de/nachrichten/n/update-coronavirus-1/,25,,,,,,,,,,,,,,,,5
Unstrut-Hainich-Kreis,Landkreis,2,https://www.unstrut-hainich-kreis.de/,2,,,,,,,,,,,,,,,,16
Unterallgäu,Landkreis,18,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen.html,19,,,,,17/03/2020 12:00,https://www.landratsamt-unterallgaeu.de/aktuelles/pressemitteilungen/pressemitteilung-detail-ansicht/news/detail/news/corona:-so-schuetzen-sie-sich-und-ihre-mitmenschen.html,@_MitschiBoy_,,,,,,,,,9
Vechta,Landkreis,6,https://www.landkreis-vechta.de/nc/service/aktuelles/pressemitteilungen/einzelansicht/news/inzwischen-sechs-covid-19-infektionen-im-landkreis-vechta.html,6,,,,,,,,,,,,,,,,3
Verden,Landkreis,14,https://www.landkreis-verden.de/portal/seiten/aktuelles-zum-coronavirus-geschehen-im-landkreis-verden-901001573-20600.html?rubrik=901000034,14,,,,,,,,,,,,,,,,3
Viersen,Kreis,46,https://www.kreis-viersen.de/,58,1,,,,18/03/2020 12:20,https://www.kreis-viersen.de/,@JamesEDaniell,,,,,,,,,5
Vogelsbergkreis,Landkreis,4,https://www.vogelsbergkreis.de/kreisverwaltung/presse/ansicht.html?tx_ttnews%5Btt_news%5D=8565&cHash=356a8df8b497242be96eb2f519321ea3,4,,,,,,,,,,,,,,,,6
Vogtlandkreis,Landkreis,2,https://www.vogtlandkreis.de/B%C3%BCrgerservice-und-Verwaltung/Infos-und-Services/Pressemitteilungen,2,,,,,,,,,,,,,,,,14
Vorpommern-Greifswald,Landkreis,9,"https://www.kreis-vg.de/Kurzmen%C3%BC/Startseite/Aktuelles-zum-CORONA-Virus.php?object=tx,3079.5&ModID=7&FID=3079.14685.1",9,,,,,,,,,,,,,,,,13
Vorpommern-Rügen,Landkreis,6,https://www.lk-vr.de/,6,,,,,,,,,,,,,,,,13
Vulkaneifel,Landkreis,11,https://www.vulkaneifel.de/aktuelles/aktuelles-aus-rat-und-verwaltung/weitere-bestaetigte-corona-faelle-im-landkreis-vulkaneifel.html,11,,,,,,,,,,,,,,,,7
Waldeck-Frankenberg,Landkreis,8,https://www.landkreis-waldeck-frankenberg.de/city_info/webaccessibility/index.cfm?modul_id=2&record_id=109129,8,,,,,,,,,,,,,,,,6
Waldshut,Landkreis,8,https://www.landkreis-waldshut.de/aktuelles/,8,,,,,,,,,,,,,,,,8
Warendorf,Kreis,84,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,84,,,,,,,,,,,,,,,,5
Wartburgkreis,Landkreis,5,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,5,,,,,,,,,,,,,,,,16
Weiden i.d. OPf.,Kreisfreie Stadt,7,https://www.weiden.de/stadt/willkommen/aktuelles/zwei-weitere-coronafaelle-in-weiden,7,,,,,,,,,,,,,,,,9
Weilheim-Schongau,Landkreis,26,https://www.weilheim-schongau.de/aktuelles/aktuelle-meldungen/pressemitteilung-54-2020-vom-16032020/,26,,,,,,,,,,,,,,,,9
Weimar,Kreisfreie Stadt,2,https://stadt.weimar.de/nc/aktuell/,2,,,,,,,,,,,,,,,,16
Weimarer Land,Landkreis,1,https://www.weimarerland.de/soziales/index.html,1,,,,,,,,,,,,,,,,16
Weißenburg-Gunzenhausen,Landkreis,2,https://www.landkreis-wug.de/presseliveticker-corona/,5,,,,,18/03/2020 12:00,https://www.landkreis-wug.de/newsticker-corona/,@_MitschiBoy_,,,,,,,,,9
Werra-Meißner-Kreis,Landkreis,1,https://www.werra-meissner-kreis.de/fileadmin/01_Homepage_Kreisverwaltung/Fachbereiche_und_Einrichtungen/VL_Stab_Verwaltungsleitung_und_-steuerung/POE_Presse_und_Oeffentlichkeitsarbeit_Buergerreferent_Kultur/Presse-_und_OEffentlichkeitsarbeit/Pressemitteilungen/Pressemitteilungen_2020/03_Maerz/20.03.16_Erster_Coronafall_WMK.pdf,1,,,,,,,,,,,,,,,,6
Wesel,Kreis,126,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-2851183/,152,,,,,18/03/2020 12:00,https://www.kreis-wesel.de/de/presse/aktueller-stand-der-infektionsfaelle-mit-coronavirus-covid-19-im-kreis-wesel-1424873/,@_MitschiBoy_,,,,,,,,,5
Wesermarsch,Landkreis,0,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,4,,,,,18/03/2020 14:00,http://www.landkreis-wesermarsch.de/verwaltung-politik/fachdienste-im-ueberblick/gesundheit/aktuelles-coronoavirus.php,@_MitschiBoy_,,,,,,,,,3
Westerwaldkreis,Landkreis,53,https://www.westerwaldkreis.de/aktuelles-detailansicht/gesundheitsamt-informiert.html,53,,,,,,,,,,,,,,,,7
Wetteraukreis,Landkreis,15,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-corona/detail/news/gemeinsames-schreiben-der-kreisspitze-zu-corona/,15,,,,,,,,,,,,,,,,6
Wiesbaden,Kreisfreie Stadt,22,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus.php,22,,,,1,,,,,,,,,,,,6
Wilhelmshaven,Kreisfreie Stadt,3,https://www.wilhelmshaven.de/,3,,,,,,,,,,,,,,,,3
Wittenberg,Landkreis,3,https://ms.sachsen-anhalt.de/themen/gesundheit/aktuell/coronavirus/,3,,,,,,,,,,,,,,,,15
Wittmund,Landkreis,3,https://www.landkreis-wittmund.de/LebenArbeiten/Gesundheit/Infektionsschutz/Coronavirus.aspx,3,,,,,,,,,,,,,,,,3
Wolfenbüttel,Landkreis,1,https://www.braunschweiger-zeitung.de/wolfenbuettel/article228711753/Erster-bestaetigter-Corona-Fall-im-Landkreis-Wolfenbuettel.html,1,,,,,,,,,,,,,,,,3
Wolfsburg,Kreisfreie Stadt,4,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,5,,,,,18/03/2020 9:30,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,@_MitschiBoy_,,,,,,,,,3
Worms,Kreisfreie Stadt,14,https://www.worms.de/de/aktuelles/stadtnachrichten/2020-03-12-16-26-24.php#anchor_25a7a48d_Accordion-Kindergaerten-und-Kindertagesstaetten,14,,,,,,,,,,,,,,,,7
Wunsiedel i. Fichtelgebirge,Landkreis,14,https://www.landkreis-wunsiedel.de/buergerservice/news/2020/wichtige-informationen-zum-coronavirus-sars-cov-2,14,,,,,,,,,,,,,,,,9
Wuppertal,Kreisfreie Stadt,31,https://www.wuppertal.de/presse/meldungen/meldungen-2020/februar20/corona-virus-information.php,50,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Würzburg,Kreisfreie Stadt,40,https://www.wuerzburg.de/themen/gesundheit-soziales/coronavirus/index.html,40,,,,,,,,,,,,,,,,9
Würzburg,Landkreis,47,"https://www.landkreis-wuerzburg.de/Auf-einen-Klick/Aktuelles/Coronavirus/Sieben-neue-Corona-F%C3%A4lle-in-Stadt-und-Landkreis-W%C3%BCrzburg-Landrat-sagt-Wahlstudio-im-Landratsamt-ab.php?object=tx,2680.5&ModID=7&FID=2680.21372.1&NavID=2680.396&La=1",47,,,,,,,,,,,,,,,,9
Zollernalbkreis,Landkreis,51,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,51,,,,,,,,,,,,,,,,8
Zweibrücken,Kreisfreie Stadt,0,http://www.lkswp.de/corona-info,0,,,,,,,,,,,,,,,,7
Zwickau,Landkreis,23,https://www.landkreis-zwickau.de/index.html,23,,,,,,,,,,,,,,,,14